timestep,S,I,C,υ
39,0.540935242015253,0.10443084904957783,0.449064757984747,0.4999983817596389
40,0.5339198172779989,0.09917532555778602,0.4560801827220011,0.4999984080537781
41,0.527341695825816,0.09410003906974791,0.462658304174184,0.4999984199672894
42,0.5211751551475676,0.08920953369039031,0.46882484485243237,0.4999984195793719
43,0.5153956966237039,0.08450659568664932,0.4746043033762961,0.49999840825095404
44,0.5099800414337011,0.07999246413143953,0.48001995856629887,0.49999838682940806
45,0.5049061145614191,0.07566702869838676,0.4850938854385809,0.4999983557735755
46,0.5001530194697449,0.07152901354578023,0.4898469805302551,0.4999983152293964
47,0.49570100562466574,0.06757614674416174,0.49429899437533426,0.4999982650729083
48,0.4915314307000542,0.06380531511493642,0.4984685692999458,0.4999982049299127
49,0.48762671898730314,0.060212704670116454,0.5023732810126968,0.4999981341771739
50,0.483970317266477,0.05679392708844496,0.506029682733523,0.4999980519270958
51,0.4805466491649501,0.05354413284269491,0.50945335083505,0.49999795699559485
52,0.4773410688322656,0.05045811171794084,0.5126589311677344,0.49999784785081336
53,0.47433981459263264,0.047530381540983276,0.5156601854073674,0.49999772253796604
54,0.4715299630956264,0.044755265985588016,0.5184700369043737,0.49999757857251587
55,0.46889938436791156,0.04212696233434591,0.5211006156320884,0.4999974127893658
56,0.4664366980710789,0.039639600072190896,0.5235633019289211,0.4999972211287832
57,0.4641312311901307,0.037287291164348736,0.5258687688098693,0.4999969983285054
58,0.4619729773112338,0.03506417283720462,0.5280270226887662,0.4999967374726017
59,0.459952557593808,0.032964443637949814,0.5300474424061921,0.49999642931485677
60,0.45806118349885716,0.030982393500866016,0.5319388165011428,0.4999960612352058
61,0.45629062130091047,0.029112428497118016,0.5337093786990895,0.4999956155760152
62,0.4546331583834717,0.02734909089286095,0.5353668416165283,0.4999950668833892
63,0.4530815712960183,0.025687075088907788,0.5369184287039818,0.49999437711212225
64,0.45162909553285524,0.024121239965582093,0.5383709044671448,0.4999934867998553
65,0.4502693969785708,0.022646618110410355,0.5397306030214292,0.49999229761511255
66,0.4489965449479962,0.02125842236702795,0.5410034550520038,0.4999906346226708
67,0.44780498672207525,0.0199520501186582,0.5421950132779247,0.4999881551517329
68,0.44668952341984347,0.01872308573216025,0.5433104765801565,0.4999840898169662
69,0.4456452868474239,0.01756730173787682,0.5443547131525761,0.4999758777993986
70,0.4446677152583768,0.016480660959492407,0.5453322847416232,7.498258581555606e-06
71,0.4428393935841275,0.01637245392354821,0.5471606064158725,6.520245436334292e-06
72,0.4410305179787502,0.016257515480617563,0.5489694820212497,5.732980930404427e-06
73,0.4392416508953134,0.016136074138802917,0.5507583491046866,5.089779894507854e-06
74,0.43747332007254863,0.01600836627013374,0.5525266799274513,4.55658290521337e-06
75,0.43572601851161424,0.01587463520976714,0.5542739814883858,4.10894154364174e-06
76,0.4340002045526354,0.015735130361258697,0.5559997954473646,3.7292678011994682e-06
77,0.4322963020463834,0.015590106311827641,0.5577036979536166,3.4042427585407063e-06
78,0.4306147006160626,0.015439821961473216,0.5593852993839373,3.123675248931009e-06
79,0.4289557560061359,0.015284539667384444,0.5610442439938641,2.879683373031426e-06
80,0.4273197905131585,0.015124524406875556,0.5626802094868415,2.6660821603181895e-06
81,0.42570709349328023,0.014960042962011057,0.5642929065067197,2.4779550097907455e-06
82,0.42411792194095144,0.014791363128836032,0.5658820780590486,2.311353172440228e-06
83,0.42255250113323395,0.014618752953919276,0.567447498866766,2.163074262160438e-06
84,0.4210110253340316,0.014442480000685492,0.5689889746659683,2.03049700937514e-06
85,0.41949365855254733,0.014262810647729185,0.5705063414474526,1.9114577304195752e-06
86,0.41800053535031323,0.014080009421005716,0.5719994646496868,1.8041569088610899e-06
87,0.41653176169121775,0.01389433836149495,0.5734682383087822,1.7070875289394311e-06
88,0.41508741582906616,0.01370605642963321,0.5749125841709338,1.6189794041680923e-06
89,0.41366754922735244,0.013515418947514733,0.5763324507726476,1.5387555135984462e-06
90,0.4122721875060901,0.013322677079577187,0.5777278124939098,1.465497490664443e-06
91,0.41090133141074114,0.013128077352210646,0.5790986685892588,1.3984181480340888e-06
92,0.4095549577984892,0.012931861212468771,0.5804450422015107,1.3368394430953817e-06
93,0.4082330206373316,0.012734264625815235,0.5817669793626684,1.2801746773666289e-06
94,0.40693545201369574,0.012535517712610368,0.5830645479863042,1.2279140159045878e-06
95,0.4056621631445365,0.012335844422832217,0.5843378368554635,1.179612631333801e-06
96,0.4044130453901172,0.01213546224833421,0.5855869546098829,1.1348809390833687e-06
97,0.4031879712639362,0.01193458197176824,0.5868120287360639,1.0933765107005595e-06
98,0.4019867954365159,0.011733407451147712,0.5880132045634842,1.054797342319163e-06
99,0.40080935573002746,0.011532135438889266,0.5891906442699725,1.0188762238641917e-06
100,0.3996554741009784,0.011330955434054907,0.5903445258990216,9.853760071903412e-07
101,0.3985249576084391,0.011130049566416856,0.5914750423915609,9.540856121275418e-07
102,0.39741759936553,0.010929592510884972,0.59258240063447,9.248166412295065e-07
103,0.39633317947212643,0.010729751430771374,0.5936668205278736,8.974004990039374e-07
104,0.39527146592696777,0.010530685948317027,0.5947285340730323,8.716859311261356e-07
105,0.39423221551757975,0.010332548140868916,0.5957677844824203,8.475369147917781e-07
106,0.3932151746866272,0.010135482561075588,0.5967848253133728,8.248308438544148e-07
107,0.39222008037351735,0.009939626279459237,0.5977799196264827,8.034569624077762e-07
108,0.39124666083026327,0.009745108947725262,0.5987533391697367,7.833150085418709e-07
109,0.3902946364107971,0.00955205288118316,0.5997053635892029,7.643140365334228e-07
110,0.3893637203330904,0.009360573158675113,0.6006362796669096,7.463713910424999e-07
111,0.3884536194135983,0.009170777738439401,0.6015463805864018,7.294118112252318e-07
112,0.3875640347736887,0.00898276758837406,0.6024359652263113,7.133666462309299e-07
113,0.38669466251785495,0.00879663682921121,0.6033053374821451,6.98173166482565e-07
114,0.3858451943836337,0.00861247288916172,0.6041548056163663,6.837739575626032e-07
115,0.38501531836326713,0.008430356668645578,0.6049846816367328,6.701163855372729e-07
116,0.38420471929724903,0.008250362713781234,0.605795280702751,6.571521242270194e-07
117,0.38341307943999187,0.008072559397368539,0.6065869205600082,6.448367363305574e-07
118,0.3826400789979362,0.007897009106163562,0.6073599210020638,6.331293014833544e-07
119,0.3818853966404988,0.0077237684333090586,0.6081146033595012,6.219920853183382e-07
120,0.3811487099843252,0.007552888374849514,0.6088512900156747,6.113902444291563e-07
121,0.38042969605136984,0.007384414529327268,0.6095703039486301,6.012915628408038e-07
122,0.3797280317013803,0.007218387299521564,0.6102719682986197,5.916662161900894e-07
123,0.3790433940394057,0.007054842095458374,0.6109566059605943,5.824865603269246e-07
124,0.3783754607989872,0.006893809537883924,0.6116245392010128,5.737269414812552e-07
125,0.37772391070172,0.00673531566145787,0.6122760892982799,5.65363525511415e-07
126,0.3770884237939026,0.0065793821169835105,0.6129115762060974,5.573741440677499e-07
127,0.37646868176100745,0.006426026372053583,0.6135313182389925,5.497381557787828e-07
128,0.3758643682207253,0.006275261909546397,0.6141356317792748,5.424363208025908e-07
129,0.3752751689953428,0.006127098423464244,0.6147248310046572,5.354506872894603e-07
130,0.37470077236422317,0.005981542011657782,0.6152992276357768,5.287644884777084e-07
131,0.3741408692971587,0.005838595365032134,0.6158591307028414,5.223620492971672e-07
132,0.3735951536693667,0.005698257952877629,0.6164048463306333,5.162287014873102e-07
133,0.373063322458895,0.005560526204014221,0.616936677541105,5.103507063523964e-07
134,0.37254507592719655,0.0054253936834814795,0.6174549240728034,5.047151843766689e-07
135,0.37204011778362456,0.005292851264546388,0.6179598822163754,4.993100510105855e-07
136,0.37154815533458907,0.005162887295838673,0.6184518446654109,4.941239580160824e-07
137,0.3710688996181009,0.005035487763459138,0.6189311003818991,4.891462398264347e-07
138,0.3706020655244176,0.0049106364479386535,0.6193979344755824,4.84366864435614e-07
139,0.3701473719034865,0.004788315075955919,0.6198526280965134,4.797763883842903e-07
140,0.36970454165986677,0.004668503466749968,0.6202954583401332,4.7536591545567514e-07
141,0.36927330183579027,0.0045511796731888396,0.6207266981642098,4.711270587350695e-07
142,0.36885338368300574,0.004436320117479598,0.6211466163169942,4.6705190572294206e-07
143,0.3684445227240299,0.004323899721525362,0.6215554772759702,4.631329862231986e-07
144,0.36804645880340725,0.0042138920319551585,0.6219535411965927,4.59363242756586e-07
145,0.3676589361295643,0.004106269339869277,0.6223410638704356,4.5573600327424707e-07
146,0.3672817033078189,0.004001002795358148,0.6227182966921812,4.5224495596877906e-07
147,0.36691451336508757,0.0038980625168672164,0.6230854866349125,4.488841260000398e-07
148,0.3665571237668123,0.0037974176954916556,0.6234428762331877,4.456478539706748e-07
149,0.36620929642660727,0.0036990366942963866,0.6237907035733927,4.425307760022012e-07
150,0.36587079770910547,0.0036028871427651065,0.6241292022908945,4.395278052766329e-07
151,0.3655413984264664,0.0035089360264911394,0.6244586015735336,4.3663411492134316e-07
152,0.3652208738289838,0.0034171497722285055,0.6247791261710162,4.338451221262174e-07
153,0.36490900359021466,0.003327494328428443,0.6250909964097853,4.311564733923821e-07
154,0.36460557178703074,0.0032399352413898727,0.6253944282129693,4.28564030820944e-07
155,0.36431036687497476,0.0031544377271571877,0.6256896331250252,4.2606385935846155e-07
156,0.3640231816592865,0.0030709667393004725,0.6259768183407135,4.236522149232835e-07
157,0.36374381326194366,0.002989487032715805,0.6262561867380563,4.2132553334360513e-07
158,0.3634720630850479,0.0029099632235842898,0.6265279369149521,4.190804200441489e-07
159,0.36320773677086715,0.0028323598456289857,0.6267922632291328,4.169136404238388e-07
160,0.3629506441588308,0.0027566414028088854,0.6270493558411692,4.1482211087178583e-07
161,0.3627005992397576,0.0026827724185885106,0.6272994007602424,4.128028903733894e-07
162,0.36245742010758075,0.002610717481920597,0.6275425798924192,4.108531726624098e-07
163,0.36222092890882107,0.0025404412900780376,0.6277790710911789,4.0897027887856173e-07
164,0.361990951790044,0.0024719086884690197,0.6280090482099561,4.0715165069351293e-07
165,0.3617673188435224,0.002405084707567395,0.6282326811564776,4.053948438712175e-07
166,0.36154986405131634,0.002339934597087872,0.6284501359486836,4.036975222312866e-07
167,0.3613384252279642,0.002276423857532708,0.6286615747720358,4.0205745198660365e-07
168,0.3611328439619728,0.002214518269233706,0.6288671560380272,4.004724964287004e-07
169,0.3609329655562782,0.0021541839190103457,0.6290670344437218,3.989406109364952e-07
170,0.36073863896784086,0.0020953872245615336,0.6292613610321591,3.9745983828591386e-07
171,0.36054971674652664,0.002038094956705102,0.6294502832534734,3.9602830423965344e-07
172,0.3603660549734165,0.001982274259575668,0.6296339450265834,3.9464421339795045e-07
173,0.360187513198677,0.0019278926688882363,0.6298124868013231,3.9330584529267787e-07
174,0.3600139543791153,0.0018749181283710427,0.6299860456208847,3.9201155070843145e-07
175,0.35984524481553487,0.0018233190044676302,0.6301547551844652,3.907597482154922e-07
176,0.35968125408999635,0.0017730640994048047,0.6303187459100036,3.89548920900682e-07
177,0.35952185500308603,0.001724122662719036,0.630478144996914,3.8837761328315667e-07
178,0.35936692351128036,0.00167646440133113,0.6306330764887197,3.8724442840313844e-07
179,0.3592163386644941,0.0016300594882543117,0.6307836613355059,3.8614802507244904e-07
180,0.3590699825438886,0.0015848785700185517,0.6309300174561114,3.8508711527652304e-07
181,0.3589277402000129,0.0015408927728897891,0.631072259799987,3.840604617183083e-07
182,0.35878949959134365,0.0014980737079594826,0.6312105004086563,3.8306687549514295e-07
183,0.3586551515232845,0.0014563934751768452,0.6313448484767156,3.821052139003339e-07
184,0.3585245895876799,0.001415824666392542,0.6314754104123201,3.811743783417264e-07
185,0.35839771010289423,0.0013763403674799354,0.6316022898971058,3.802733123701042e-07
186,0.3582744120545011,0.0013379141595963036,0.6317255879454988,3.7940099981073827e-07
187,0.35815459703662506,0.0013005201196438759,0.6318454029633749,3.785564629918684e-07
188,0.35803816919397197,0.0012641328199877687,0.6319618308060281,3.777387610643204e-07
189,0.3579250351645821,0.001228727327484631,0.6320749648354179,3.769469884068501e-07
190,0.357815104023335,0.0011942792018732886,0.6321848959766649,3.761802731121652e-07
191,0.35770828722623305,0.001160764493576364,0.632291712773767,3.754377755489181e-07
192,0.3576044985554855,0.0011281597409588476,0.6323955014445145,3.7471868699526346e-07
193,0.357503654065415,0.0010964419670872897,0.6324963459345849,3.740222283398657e-07
194,0.357405672029202,0.0010655886760313476,0.6325943279707981,3.7334764884651306e-07
195,0.3573104728864825,0.0010355778487463473,0.6326895271135174,3.726942249787313e-07
196,0.35721797919181214,0.0010063879385742492,0.6327820208081879,3.720612592810342e-07
197,0.35712811556400476,0.000977997866397656,0.6328718844359953,3.714480793136488e-07
198,0.35704080863635523,0.0009503870154797676,0.6329591913636448,3.7085403663776053e-07
199,0.35695598700775144,0.0009235352260213236,0.6330440129922486,3.702785058485062e-07
200,0.3568735811946793,0.0008974227894637314,0.6331264188053207,3.6972088365311283e-07
201,0.3567935235841242,0.0008720304425656791,0.6332064764158758,3.651707985287397e-07
