"timestep","S","I","C","v"
81,0.425707093494049,0.0149600429621052,0.564292906505951,2.47795522798546e-06
82,0.424117921941707,0.0147913631289316,0.565882078058293,2.31135335036696e-06
83,0.422552501133977,0.0146187529540162,0.567447498866023,2.16307440851833e-06
84,0.421011025334762,0.0144424800007837,0.568988974665238,2.03049713071476e-06
85,0.419493658553265,0.0142628106478286,0.570506341446735,1.91145783174004e-06
86,0.418000535351018,0.0140800094211062,0.571999464648982,1.80415699402579e-06
87,0.41653176169191,0.0138943383615965,0.57346823830809,1.70708760096542e-06
88,0.415087415829746,0.0137060564297356,0.574912584170254,1.61897946543155e-06
89,0.413667549228019,0.0135154189476179,0.576332450771981,1.53875556598497e-06
90,0.412272187506744,0.013322677079681,0.577727812493256,1.46549753568124e-06
91,0.410901331411382,0.0131280773523151,0.579098668588618,1.39841818689477e-06
92,0.409554957799118,0.0129318612125737,0.580445042200882,1.3368394767842e-06
93,0.408233020637947,0.0127342646259205,0.581766979362053,1.2801747066873e-06
94,0.406935452014299,0.0125355177127159,0.583064547985701,1.22791404151756e-06
95,0.405662163145127,0.0123358444229379,0.584337836854873,1.17961265378501e-06
96,0.404413045390695,0.01213546224844,0.585586954609305,1.13488095882649e-06
97,0.403187971264502,0.011934581971874,0.586812028735498,1.09337652811449e-06
98,0.401986795437069,0.0117334074512533,0.588013204562931,1.05479735772185e-06
99,0.400809355730569,0.0115321354389946,0.589190644269431,1.01887623752363e-06
100,0.399655474101507,0.01133095543416,0.590344525898493,9.8537601933338e-07
101,0.398524957608956,0.0111300495665216,0.591475042391044,9.54085622947015e-07
102,0.397417599366035,0.0109295925109892,0.592582400633965,9.24816650889949e-07
103,0.39633317947262,0.0107297514308751,0.59366682052738,8.97400507646287e-07
104,0.39527146592745,0.0105306859484201,0.59472853407255,8.71685938871543e-07
105,0.39423221551805,0.0103325481409713,0.59576778448195,8.47536921744745e-07
106,0.393215174687086,0.0101354825611772,0.596784825312914,8.24830850105378e-07
107,0.392220080373965,0.00993962627956004,0.597779919626034,8.03456968035246e-07
108,0.3912466608307,0.00974510894782521,0.5987533391693,7.833150136142e-07
109,0.390294636411223,0.00955205288128217,0.599705363588776,7.64314041110301e-07
110,0.389363720333506,0.00936057315877315,0.600636279666494,7.46371395176189e-07
111,0.388453619414004,0.00917077773853637,0.601546380585996,7.29411814961609e-07
112,0.387564034774084,0.00898276758846997,0.602435965225916,7.13366649610383e-07
113,0.38669466251824,0.00879663682930602,0.60330533748176,6.98173169540717e-07
114,0.385845194384008,0.0086124728892554,0.604154805615992,6.83773960330961e-07
115,0.385015318363632,0.0084303566687381,0.604984681636368,6.70116388043758e-07
116,0.384204719297604,0.00825036271387257,0.605795280702396,6.57152126496436e-07
117,0.383413079440338,0.00807255939745859,0.606586920559662,6.4483673838498e-07
118,0.382640078998273,0.00789700910625235,0.607359921001727,6.33129303342478e-07
119,0.381885396640826,0.00772376843339653,0.608114603359174,6.21992086999757e-07
120,0.381148709984644,0.00755288837493567,0.608851290015356,6.11390245948629e-07
121,0.380429696051679,0.00738441452941209,0.609570303948321,6.01291564212465e-07
122,0.379728031701681,0.00721838729960503,0.610271968298319,5.91666217426639e-07
123,0.379043394039698,0.00705484209554044,0.610956605960302,5.82486561439794e-07
124,0.378375460799271,0.00689380953796465,0.611624539200729,5.73726942480755e-07
125,0.377723910701996,0.00673531566153723,0.612276089298004,5.65363526406853e-07
126,0.377088423794171,0.00657938211706149,0.612911576205829,5.57374144867545e-07
127,0.376468681761268,0.00642602637213018,0.613531318238732,5.49738156490561e-07
128,0.375864368220978,0.0062752619096216,0.614135631779022,5.42436321433272e-07
129,0.375275168995588,0.00612709842353806,0.614724831004412,5.3545068784533e-07
130,0.374700772364461,0.00598154201173022,0.615299227635539,5.28764488964484e-07
131,0.37414086929739,0.0058385953651032,0.61585913070261,5.22362049720058e-07
132,0.373595153669591,0.00569825795294729,0.616404846330409,5.16228701851065e-07
133,0.373063322459112,0.00556052620408249,0.616936677540888,5.10350706661356e-07
134,0.372545075927407,0.00542539368354841,0.617454924072593,5.04715184634802e-07
135,0.372040117783829,0.00529285126461199,0.617959882216171,4.99310051221525e-07
136,0.371548155334787,0.00516288729590296,0.618451844665213,4.94123958183158e-07
137,0.371068899618292,0.00503548776352212,0.618931100381708,4.89146239952701e-07
138,0.370602065524603,0.00491063644800034,0.619397934475397,4.84366864523879e-07
139,0.370147371903666,0.00478831507601627,0.619852628096334,4.79776388437132e-07
140,0.36970454166004,0.00466850346680899,0.62029545833996,4.7536591547547e-07
141,0.369273301835958,0.00455117967324662,0.620726698164042,4.71127058724009e-07
142,0.368853383683168,0.00443632011753612,0.621146616316832,4.67051905683046e-07
143,0.368444522724187,0.00432389972158063,0.621555477275813,4.63132986156331e-07
144,0.368046458803559,0.00421389203200919,0.621953541196441,4.59363242664472e-07
145,0.367658936129711,0.00410626933992206,0.622341063870289,4.5573600315848e-07
146,0.36728170330796,0.0040010027954097,0.62271829669204,4.52244955830835e-07
147,0.366914513365224,0.00389806251691756,0.623085486634776,4.48884125841288e-07
148,0.366557123766944,0.00379741769554083,0.623442876233056,4.45647853792385e-07
149,0.366209296426735,0.0036990366943444,0.623790703573265,4.42530775805552e-07
150,0.365870797709228,0.00360288714281199,0.624129202290772,4.3952780506272e-07
151,0.365541398426585,0.00350893602653689,0.624458601573415,4.36634114691183e-07
152,0.365220873829098,0.00341714977227319,0.624779126170902,4.33845121880759e-07
153,0.364909003590325,0.00332749432847207,0.625090996409675,4.31156473132508e-07
154,0.364605571787137,0.00323993524143246,0.625394428212863,4.28564030547475e-07
155,0.364310366875077,0.00315443772719873,0.625689633124923,4.26063859072166e-07
156,0.364023181659385,0.003070966739341,0.625976818340615,4.23652214624876e-07
157,0.363743813262038,0.00298948703275531,0.626256186737962,4.21325533033755e-07
158,0.363472063085139,0.00290996322362279,0.626527936914861,4.19080419723481e-07
159,0.363207736770954,0.00283235984566654,0.626792263229046,4.16913640092939e-07
160,0.362950644158914,0.00275664140284549,0.627049355841085,4.14822110531201e-07
161,0.362700599239838,0.00268277241862417,0.627299400760162,4.12802890023631e-07
