This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    37219
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   112800

Total number of variables............................:     6611
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     2404
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  46r 2.8862029e+04 9.99e+03 2.95e+01  -0.9 2.50e+00    -  5.14e-01 7.04e-01f  1
  47r 3.0508337e+04 9.99e+03 8.92e+01  -0.9 4.17e+00   0.5 1.01e-01 5.57e-01f  1
  48r 3.4863670e+04 9.99e+03 2.48e+01  -0.9 1.02e+01   0.0 7.31e-01 6.19e-01f  1
  49r 3.8993179e+04 9.99e+03 1.05e+02  -0.9 1.74e+01  -0.4 4.87e-01 3.39e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 3.9513362e+04 9.99e+03 2.29e+02  -0.9 2.50e+01  -0.9 2.04e-01 3.30e-02f  1
  51r 4.0080222e+04 9.99e+03 2.25e+02  -0.9 4.14e+01  -1.4 3.10e-02 2.85e-02f  1
  52r 4.0936356e+04 9.99e+03 2.52e+02  -0.9 2.36e+01  -1.0 1.24e-01 5.58e-02f  1
  53r 4.1005885e+04 9.99e+03 2.46e+02  -0.9 3.52e+00   0.4 2.43e-02 2.76e-02f  1
  54r 4.2589923e+04 9.99e+03 1.76e+02  -0.9 8.34e+00  -0.1 1.95e-01 2.70e-01f  1
  55r 4.5346456e+04 9.99e+03 9.99e+01  -0.9 1.41e+01  -0.6 1.95e-01 2.76e-01f  1
  56r 4.6911700e+04 9.99e+03 1.10e+02  -0.9 2.40e+01    -  1.35e-01 1.05e-01f  1
  57r 4.6962588e+04 9.99e+03 1.03e+02  -0.9 1.08e+00   0.7 6.36e-02 6.56e-02f  1
  58r 4.7224565e+04 9.99e+03 8.99e+01  -0.9 2.95e+00   0.3 1.21e-01 1.26e-01f  1
  59r 5.0120219e+04 9.99e+03 1.53e+02  -0.9 1.84e+01    -  3.71e-01 2.26e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 5.0196215e+04 9.99e+03 1.03e+02  -0.9 9.33e-01   0.7 3.86e-01 1.14e-01f  1
  61r 5.3044880e+04 9.99e+03 3.53e+02  -0.9 1.39e+01    -  1.00e+00 2.92e-01f  1
  62r 5.9941291e+04 9.99e+03 1.09e+00  -0.9 9.83e+00    -  1.00e+00 1.00e+00f  1
  63r 5.9803453e+04 9.99e+03 3.92e+01  -2.4 1.50e+00    -  5.41e-01 7.38e-01f  1
  64r 6.3617103e+04 9.99e+03 3.55e+01  -2.4 1.36e+01   0.2 4.82e-01 3.99e-01f  1
  65r 7.3427018e+04 9.99e+03 2.36e+02  -2.4 3.74e+01  -0.3 5.45e-01 3.74e-01f  1
  66r 8.2197164e+04 9.99e+03 3.65e+02  -2.4 8.91e+01  -0.7 1.97e-01 1.40e-01f  1
  67r 9.0145154e+04 9.98e+03 8.19e+02  -2.4 3.85e+01  -0.3 8.84e-01 2.96e-01f  1
  68r 1.0146971e+05 9.98e+03 9.25e+02  -2.4 9.07e+01  -0.8 2.87e-01 1.79e-01f  1
  69r 1.0318796e+05 9.98e+03 9.74e+02  -2.4 1.62e+02  -1.3 2.77e-02 1.49e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 1.2745842e+05 9.98e+03 2.02e+03  -2.4 9.29e+01  -0.8 1.00e+00 3.75e-01f  1
  71r 1.3936719e+05 9.98e+03 2.94e+03  -2.4 1.53e+02  -1.3 4.50e-01 1.12e-01f  1
  72r 1.6054934e+05 9.98e+03 2.19e+03  -2.4 2.02e+02  -1.8 7.92e-02 1.51e-01f  1
  73r 1.7025820e+05 9.97e+03 2.18e+03  -2.4 2.07e+02  -2.3 9.40e-02 6.80e-02f  1
  74r 1.7734154e+05 9.97e+03 1.97e+03  -2.4 2.09e+02    -  3.02e-02 4.88e-02f  1
  75r 1.8446503e+05 9.97e+03 1.69e+03  -2.4 2.00e+02    -  1.54e-02 5.16e-02f  1
  76r 2.0900761e+05 9.97e+03 3.58e+03  -2.4 1.54e+02  -1.9 8.37e-01 2.30e-01f  1
  77r 2.3956293e+05 9.96e+03 2.38e+03  -2.4 1.54e+02    -  1.97e-01 2.87e-01f  1
  78r 3.0774695e+05 9.95e+03 7.58e+02  -2.4 1.10e+02    -  2.58e-01 8.99e-01f  1
  79r 3.1283099e+05 9.95e+03 1.99e+02  -2.4 1.11e+01    -  7.14e-01 6.70e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80r 3.1534332e+05 9.95e+03 2.49e-02  -2.4 3.66e+00    -  1.00e+00 1.00e+00f  1
  81r 3.1537098e+05 9.95e+03 2.15e+01  -3.6 1.72e-01    -  7.56e-01 1.00e+00f  1
  82r 3.3907403e+05 9.95e+03 1.91e+03  -3.6 3.90e+02  -1.4 2.29e-01 8.75e-02f  1
  83r 3.6949965e+05 9.94e+03 1.23e+03  -3.6 1.75e+02  -1.0 1.97e-01 2.51e-01f  1
  84r 3.7212057e+05 9.94e+03 3.78e+03  -3.6 3.99e+02  -1.5 2.12e-01 9.48e-03f  1
  85r 4.5774438e+05 9.93e+03 1.91e+01  -3.6 7.27e+02  -2.0 2.45e-02 1.70e-01f  1
  86r 4.5776690e+05 9.93e+03 1.09e+03  -3.6 3.89e+02  -1.5 8.26e-02 8.39e-05f  1
  87r 4.5793058e+05 9.93e+03 1.30e+03  -3.6 1.23e+03  -2.0 1.04e-02 3.61e-04f  1
  88r 4.6527930e+05 9.93e+03 1.09e+03  -3.6 7.49e+02  -1.6 1.20e-02 2.68e-02f  1
  89r 4.6877070e+05 9.93e+03 9.34e+02  -3.6 1.28e+03  -2.1 4.21e-04 7.43e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 4.8047166e+05 9.93e+03 4.44e+02  -3.6 7.94e+02  -1.6 4.95e-03 4.01e-02f  1
  91r 4.8273529e+05 9.93e+03 3.66e+02  -3.6 1.31e+03  -2.1 1.39e-03 4.71e-03f  1
  92r 4.9761488e+05 9.93e+03 1.84e+02  -3.6 8.37e+02  -1.7 3.69e-02 4.85e-02f  1
  93r 5.0098431e+05 9.94e+03 9.07e+01  -3.6 1.34e+03  -2.2 6.82e-04 6.88e-03f  1
  94r 5.0130661e+05 9.94e+03 1.71e+02  -3.6 8.74e+02  -1.7 9.83e-03 1.01e-03f  1
  95r 5.0720239e+05 9.94e+03 2.46e+02  -3.6 1.38e+03  -2.2 1.48e-02 1.17e-02f  1
  96r 5.0725974e+05 9.94e+03 2.51e+02  -3.6 1.84e+03  -2.7 2.41e-04 9.20e-05f  1
  97r 5.0968362e+05 9.94e+03 3.42e+02  -3.6 1.41e+03  -2.3 8.38e-03 4.68e-03f  1
  98r 5.0976458e+05 9.94e+03 3.38e+02  -3.6 1.86e+03  -2.7 2.42e-06 1.28e-04f  1
  99r 5.1428417e+05 9.94e+03 3.05e+02  -3.6 1.45e+03  -2.3 7.34e-03 8.50e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r 5.1759951e+05 9.94e+03 7.09e+02  -3.6 1.03e+03  -1.9 3.14e-02 8.81e-03f  1
 101r 5.2319076e+05 9.94e+03 5.98e+02  -3.6 1.48e+03  -2.4 6.35e-03 1.03e-02f  1
 102r 5.2925854e+05 9.94e+03 3.03e+02  -3.6 1.07e+03  -1.9 5.65e-05 1.55e-02f  1
 103r 5.2928241e+05 9.94e+03 4.84e+02  -3.6 6.18e+02  -1.5 1.76e-02 1.06e-04f  1
 104r 5.2932466e+05 9.94e+03 8.31e+02  -3.6 1.12e+03  -2.0 1.80e-02 1.04e-04f  1
 105r 5.3056572e+05 9.94e+03 7.93e+02  -3.6 6.68e+02  -1.6 1.89e-03 5.08e-03f  1
 106r 5.3056906e+05 9.94e+03 8.98e+02  -3.6 1.17e+03  -2.0 5.25e-03 7.85e-06f  1
 107r 5.3252111e+05 9.94e+03 8.33e+02  -3.6 7.16e+02  -1.6 2.41e-03 7.46e-03f  1
 108r 5.5839454e+05 9.95e+03 4.22e+02  -3.6 3.53e+02  -1.2 1.76e-02 2.00e-01f  1
 109r 5.6036234e+05 9.95e+03 3.69e+02  -3.6 7.42e+02  -1.7 2.44e-02 7.28e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r 5.6037313e+05 9.95e+03 3.69e+02  -3.6 1.24e+03  -2.1 6.27e-05 2.41e-05f  1
 111r 5.7379412e+05 9.96e+03 4.28e+02  -3.6 7.91e+02  -1.7 2.54e-02 4.65e-02f  1
 112r 5.7382073e+05 9.96e+03 4.26e+02  -3.6 4.01e+02  -1.3 6.76e-04 1.82e-04f  1
 113r 5.8392771e+05 9.97e+03 5.81e+02  -3.6 8.29e+02  -1.8 1.29e-02 3.35e-02f  1
 114r 5.8712454e+05 9.97e+03 6.57e+02  -3.6 4.32e+02  -1.3 9.19e-03 2.03e-02f  1
 115r 5.8751378e+05 9.97e+03 4.56e+02  -3.6 8.69e+02  -1.8 1.68e-02 1.24e-03f  1
 116r 5.8756563e+05 9.97e+03 4.57e+02  -3.6 2.84e+03  -2.3 4.23e-04 1.04e-04f  1
 117r 5.8987666e+05 9.97e+03 4.22e+02  -3.6 9.19e+02  -1.9 1.68e-02 6.95e-03f  1
 118r 5.8994118e+05 9.97e+03 4.21e+02  -3.6 5.30e+03  -2.3 1.28e-05 1.21e-04f  1
 119r 5.9223929e+05 9.97e+03 4.31e+02  -3.6 9.70e+02  -1.9 2.75e-03 6.57e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r 5.9277178e+05 9.97e+03 2.73e+02  -3.6 5.51e+02  -1.5 5.80e-02 2.66e-03f  1
 121r 5.9281105e+05 9.97e+03 3.33e+02  -3.6 2.58e+02  -1.1 2.21e-02 4.18e-04f  1
 122r 5.9340606e+05 9.97e+03 5.91e+02  -3.6 5.95e+02  -1.5 2.87e-02 2.75e-03f  1
 123r 6.0156460e+05 9.98e+03 3.18e+02  -3.6 2.84e+02  -1.1 1.51e-03 7.87e-02f  1
 124r 6.1789425e+05 9.99e+03 4.97e+02  -3.6 6.34e+02  -1.6 6.68e-03 7.10e-02f  1
 125r 6.1790205e+05 9.99e+03 4.88e+02  -3.6 3.01e+02  -1.2 3.46e-03 7.11e-05f  1
 126r 6.2008593e+05 9.99e+03 5.64e+02  -3.6 6.65e+02  -1.6 4.00e-04 9.07e-03f  1
 127r 6.2092075e+05 9.99e+03 4.66e+02  -3.6 3.30e+02  -1.2 2.23e-02 6.94e-03f  1
 128r 6.2092888e+05 9.99e+03 4.24e+02  -3.6 1.92e+01   0.1 1.79e-01 1.16e-03f  1
 129r 6.2140899e+05 9.99e+03 4.35e+02  -3.6 5.62e+01  -0.4 1.63e-04 2.35e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130r 6.3735982e+05 9.99e+03 2.64e+02  -3.6 1.58e+02  -0.8 2.95e-01 2.78e-01f  1
 131r 6.4171107e+05 9.99e+03 6.67e+02  -3.6 3.86e+02  -1.3 1.64e-01 3.10e-02f  1
 132r 6.4200509e+05 1.00e+04 6.65e+02  -3.6 2.04e+03  -1.8 8.98e-04 1.00e-03f  1
 133r 6.4222117e+05 1.00e+04 6.55e+02  -3.6 4.22e+02  -1.4 4.13e-06 1.42e-03f  1
 134r 6.4521765e+05 1.00e+04 8.46e+02  -3.6 1.88e+02  -0.9 1.36e-01 4.39e-02f  1
 135r 6.4522933e+05 1.00e+04 8.46e+02  -3.6 4.52e+02  -1.4 1.68e-04 7.12e-05f  1
 136r 6.4648585e+05 1.00e+04 8.55e+02  -3.6 8.64e+02  -1.9 4.83e-03 4.02e-03f  1
 137r 6.4873739e+05 1.00e+04 8.91e+02  -3.6 4.90e+02  -1.5 1.87e-02 1.27e-02f  1
 138r 6.5061931e+05 1.00e+04 8.34e+02  -3.6 9.04e+02  -2.0 2.39e-03 5.76e-03f  1
 139r 6.5987470e+05 1.00e+04 9.46e+02  -3.6 5.26e+02  -1.5 6.64e-02 4.84e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 6.6207564e+05 1.00e+04 8.36e+02  -3.6 9.35e+02  -2.0 1.04e-05 6.55e-03f  1
 141r 6.7393523e+05 1.00e+04 9.24e+02  -3.6 5.58e+02  -1.6 7.38e-02 5.87e-02f  1
 142r 6.7393986e+05 1.00e+04 9.24e+02  -3.6 2.11e+04  -2.1 1.23e-05 1.27e-05f  1
 143r 6.8127644e+05 1.00e+04 1.12e+03  -3.6 5.87e+02  -1.6 5.85e-02 3.45e-02f  1
 144r 6.8129263e+05 1.00e+04 1.64e+03  -3.6 2.87e+02  -1.2 1.36e-01 1.55e-04f  1
 145r 6.9498915e+05 1.00e+04 1.36e+03  -3.6 6.21e+02  -1.7 4.20e-02 6.10e-02f  1
 146r 6.9501473e+05 1.00e+04 1.46e+03  -3.6 3.08e+02  -1.3 2.56e-02 2.29e-04f  1
 147r 7.0228311e+05 1.00e+04 1.37e+03  -3.6 6.47e+02  -1.7 2.60e-02 3.11e-02f  1
 148r 7.0235972e+05 1.00e+04 1.42e+03  -3.6 3.32e+02  -1.3 1.28e-02 6.35e-04f  1
 149r 7.0261765e+05 1.00e+04 1.57e+03  -3.6 6.80e+02  -1.8 1.52e-02 1.05e-03f  1
