This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:    32413
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:    83400

Total number of variables............................:     5409
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     1202
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 197r 2.6065950e+05 9.88e+03 9.59e+01  -3.6 2.19e+02    -  3.98e-03 2.38e-05f  1
 198r 2.6079770e+05 9.88e+03 9.46e+01  -3.6 2.05e+02    -  4.01e-04 7.17e-04f  1
 199r 2.6101000e+05 9.88e+03 9.69e+01  -3.6 2.02e+02    -  1.74e-03 1.10e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200r 2.6148472e+05 9.88e+03 8.50e+01  -3.6 2.30e+02    -  1.58e-06 2.54e-03f  1
 201r 2.6161718e+05 9.88e+03 9.59e+01  -3.6 2.33e+02    -  2.97e-03 7.11e-04f  1
 202r 2.6161739e+05 9.88e+03 1.05e+02  -3.6 2.15e+02    -  2.05e-03 1.09e-06f  1
 203r 2.6183394e+05 9.88e+03 1.05e+02  -3.6 2.41e+02    -  1.05e-03 1.11e-03f  1
 204r 2.6188837e+05 9.88e+03 1.05e+02  -3.6 5.34e+01  -1.9 1.20e-03 7.28e-04f  1
 205r 2.6206395e+05 9.88e+03 1.06e+02  -3.6 2.23e+02    -  1.31e-03 8.97e-04f  1
 206r 2.6276221e+05 9.88e+03 8.87e+01  -3.6 2.19e+02    -  2.29e-06 3.71e-03f  1
 207r 2.6276755e+05 9.88e+03 9.52e+01  -3.6 2.78e+02    -  1.70e-03 2.76e-05f  1
 208r 2.6301742e+05 9.88e+03 1.01e+02  -3.6 2.59e+02    -  2.93e-03 1.29e-03f  1
 209r 2.6317159e+05 9.88e+03 9.97e+01  -3.6 1.80e+02    -  2.77e-04 7.77e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210r 2.6332746e+05 9.88e+03 9.70e+01  -3.6 2.67e+02    -  3.61e-05 7.96e-04f  1
 211r 2.6393928e+05 9.88e+03 9.42e+01  -3.6 2.21e+02    -  2.75e-03 3.26e-03f  1
 212r 2.6396330e+05 9.88e+03 1.11e+02  -3.6 2.16e+02    -  3.76e-03 1.27e-04f  1
 213r 2.6409605e+05 9.88e+03 1.15e+02  -3.6 1.89e+02    -  1.67e-03 6.79e-04f  1
 214r 2.6478278e+05 9.88e+03 9.97e+01  -3.6 2.10e+02    -  7.53e-07 3.57e-03f  1
 215r 2.6498566e+05 9.88e+03 9.70e+01  -3.6 2.12e+02    -  4.93e-04 1.07e-03f  1
 216r 2.6526570e+05 9.88e+03 9.45e+01  -3.6 2.18e+02    -  1.01e-03 1.49e-03f  1
 217r 2.6549245e+05 9.88e+03 1.09e+02  -3.6 2.28e+02    -  4.24e-03 1.21e-03f  1
 218r 2.6574354e+05 9.88e+03 1.15e+02  -3.6 2.15e+02    -  2.58e-03 1.33e-03f  1
 219r 2.6577514e+05 9.88e+03 1.26e+02  -3.6 1.97e+02    -  2.88e-03 1.64e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220r 2.6611500e+05 9.88e+03 1.26e+02  -3.6 1.94e+02    -  1.62e-03 1.76e-03f  1
 221r 2.6620505e+05 9.88e+03 1.25e+02  -3.6 2.38e+02    -  4.41e-04 4.64e-04f  1
 222r 2.6639387e+05 9.88e+03 1.22e+02  -3.6 1.87e+02    -  3.32e-06 9.71e-04f  1
 223r 2.6639714e+05 9.88e+03 1.22e+02  -3.6 2.80e+03  -2.4 8.97e-09 2.56e-05f  1
 224r 2.6639868e+05 9.88e+03 1.22e+02  -3.6 2.85e+03  -1.9 8.06e-05 1.99e-05f  1
 225r 2.6640003e+05 9.88e+03 1.22e+02  -3.6 5.02e+03  -2.4 3.39e-09 9.46e-06f  1
 226r 2.6640916e+05 9.88e+03 1.22e+02  -3.6 4.38e+02  -2.0 6.46e-07 1.08e-04f  1
 227r 2.6641363e+05 9.88e+03 1.22e+02  -3.6 6.24e+02  -1.6 1.72e-03 1.03e-04f  1
 228r 2.6669344e+05 9.88e+03 1.19e+02  -3.6 1.89e+02    -  5.83e-04 1.44e-03f  1
 229r 2.7229085e+05 9.88e+03 1.34e+02  -3.6 5.99e+01  -2.0 9.09e-02 6.24e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230r 2.7472185e+05 9.88e+03 1.25e+02  -3.6 2.93e+01  -1.6 4.69e-02 5.24e-02f  1
 231r 2.7489074e+05 9.88e+03 1.26e+02  -3.6 1.97e+02    -  1.06e-03 9.27e-04f  1
 232r 2.7502006e+05 9.88e+03 1.37e+02  -3.6 1.96e+02    -  3.21e-03 7.09e-04f  1
 233r 2.7531114e+05 9.88e+03 1.43e+02  -3.6 1.98e+02    -  3.02e-03 1.60e-03f  1
 234r 2.7599223e+05 9.87e+03 1.48e+02  -3.6 1.95e+02    -  5.01e-03 3.74e-03f  1
 235r 2.7614782e+05 9.87e+03 1.45e+02  -3.6 1.95e+02    -  3.95e-05 8.53e-04f  1
 236r 2.7919213e+05 9.87e+03 1.79e+02  -3.6 6.11e+01  -2.1 7.74e-02 3.35e-02f  1
 237r 2.7924254e+05 9.87e+03 1.87e+02  -3.6 1.88e+02    -  2.05e-03 2.80e-04f  1
 238r 2.7972504e+05 9.87e+03 1.84e+02  -3.6 1.84e+02    -  2.07e-03 2.67e-03f  1
 239r 2.7983019e+05 9.87e+03 1.84e+02  -3.6 1.87e+02    -  6.07e-04 5.84e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240r 2.7998414e+05 9.87e+03 1.91e+02  -3.6 1.86e+02    -  2.64e-03 8.55e-04f  1
 241r 2.8026453e+05 9.87e+03 1.90e+02  -3.6 1.73e+02    -  1.26e-03 1.54e-03f  1
 242r 2.8097879e+05 9.87e+03 1.72e+02  -3.6 1.87e+02    -  5.12e-06 3.98e-03f  1
 243r 2.8131182e+05 9.87e+03 2.37e+02  -3.6 1.88e+02    -  1.63e-02 1.86e-03f  1
 244r 2.8137035e+05 9.87e+03 2.37e+02  -3.6 1.75e+02    -  3.23e-04 3.23e-04f  1
 245r 2.8194733e+05 9.87e+03 2.27e+02  -3.6 1.76e+02    -  6.80e-04 3.19e-03f  1
 246r 2.8237504e+05 9.87e+03 2.32e+02  -3.6 1.85e+02    -  3.61e-03 2.38e-03f  1
 247r 2.8294678e+05 9.87e+03 2.41e+02  -3.6 1.90e+02    -  5.42e-03 3.20e-03f  1
 248r 2.8344483e+05 9.87e+03 3.25e+02  -3.6 1.89e+02    -  2.06e-02 2.78e-03f  1
 249r 2.8399859e+05 9.87e+03 3.27e+02  -3.6 1.84e+02    -  3.66e-03 3.08e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250r 2.8403112e+05 9.87e+03 3.27e+02  -3.6 1.73e+02    -  1.76e-04 1.80e-04f  1
 251r 2.8521184e+05 9.87e+03 3.00e+02  -3.6 1.83e+02    -  8.59e-04 6.58e-03f  1
 252r 2.8526405e+05 9.87e+03 3.07e+02  -3.6 1.81e+02    -  2.04e-03 2.91e-04f  1
 253r 2.8554626e+05 9.87e+03 3.24e+02  -3.6 1.79e+02    -  5.75e-03 1.57e-03f  1
 254r 2.8630494e+05 9.87e+03 3.13e+02  -3.6 1.79e+02    -  1.90e-03 4.23e-03f  1
 255r 2.8631246e+05 9.87e+03 3.35e+02  -3.6 1.74e+02    -  5.40e-03 4.20e-05f  1
 256r 2.8693518e+05 9.87e+03 4.28e+02  -3.6 1.73e+02    -  2.63e-02 3.47e-03f  1
 257r 2.8779725e+05 9.87e+03 4.25e+02  -3.6 1.71e+02    -  4.64e-03 4.81e-03f  1
 258r 2.8914564e+05 9.87e+03 4.11e+02  -3.6 1.70e+02    -  4.77e-03 7.53e-03f  1
 259r 2.8942434e+05 9.87e+03 4.47e+02  -3.6 1.68e+02    -  1.11e-02 1.56e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260r 2.9018544e+05 9.87e+03 5.43e+02  -3.6 1.67e+02    -  3.06e-02 4.26e-03f  1
 261r 2.9105708e+05 9.87e+03 5.77e+02  -3.6 1.64e+02    -  1.54e-02 4.88e-03f  1
 262r 2.9234585e+05 9.86e+03 6.16e+02  -3.6 1.61e+02    -  2.02e-02 7.23e-03f  1
 263r 2.9253929e+05 9.86e+03 8.23e+02  -3.6 1.48e+02    -  8.69e-02 1.09e-03f  1
 264r 2.9911964e+05 9.86e+03 1.44e+03  -3.6 1.30e+02    -  5.81e-01 3.69e-02f  1
 265r 3.0123232e+05 9.86e+03 1.69e+03  -3.6 1.22e+02    -  6.84e-01 1.23e-02f  1
 266r 3.0768031e+05 9.86e+03 1.69e+03  -3.6 1.19e+02    -  6.65e-01 3.80e-02f  1
 267r 3.1695766e+05 9.85e+03 1.59e+03  -3.6 1.13e+02    -  4.52e-01 5.70e-02f  1
 268r 3.2831430e+05 9.84e+03 1.44e+03  -3.6 1.04e+02    -  5.18e-01 7.42e-02f  1
 269r 3.4184963e+05 9.83e+03 1.26e+03  -3.6 9.32e+01    -  6.26e-01 9.59e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270r 3.5668477e+05 9.83e+03 1.06e+03  -3.6 8.19e+01    -  7.85e-01 1.17e-01f  1
 271r 3.6059110e+05 9.82e+03 9.97e+02  -3.6 7.05e+01    -  1.00e+00 3.52e-02f  1
 272r 3.7921881e+05 9.81e+03 8.19e+02  -3.6 6.76e+01    -  1.00e+00 1.74e-01f  1
 273r 3.8414743e+05 9.81e+03 7.71e+02  -3.6 5.45e+01    -  1.00e+00 5.63e-02f  1
 274r 4.0177781e+05 9.80e+03 6.05e+02  -3.6 5.12e+01    -  1.00e+00 2.14e-01f  1
 275r 4.1119947e+05 9.79e+03 5.22e+02  -3.6 3.95e+01    -  1.00e+00 1.47e-01f  1
 276r 4.2428219e+05 9.79e+03 4.00e+02  -3.6 3.35e+01    -  1.00e+00 2.39e-01f  1
 277r 4.3492414e+05 9.78e+03 3.02e+02  -3.6 2.52e+01    -  1.00e+00 2.57e-01f  1
 278r 4.4493886e+05 9.77e+03 2.05e+02  -3.6 1.86e+01    -  1.00e+00 3.27e-01f  1
 279r 4.4873658e+05 9.77e+03 1.70e+02  -3.6 1.24e+01    -  1.00e+00 1.85e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280r 4.6114012e+05 9.76e+03 4.24e+01  -3.6 1.01e+01    -  1.00e+00 7.44e-01f  1
 281r 4.6538211e+05 9.76e+03 1.94e-01  -3.6 2.57e+00    -  1.00e+00 1.00e+00f  1
 282r 4.6537992e+05 9.76e+03 6.80e-06  -3.6 1.01e-02    -  1.00e+00 1.00e+00h  1
 283r 4.6538050e+05 9.76e+03 2.83e+00  -5.4 4.89e-02    -  8.61e-01 1.00e+00f  1
 284r 5.1369330e+05 9.75e+03 7.77e+02  -5.4 9.90e+01  -1.7 1.17e-02 3.67e-01f  1
 285r 5.3508503e+05 9.74e+03 8.28e+02  -5.4 2.57e+02  -2.1 4.61e-03 6.54e-02f  1
 286r 5.4401616e+05 9.74e+03 8.37e+02  -5.4 1.06e+02  -1.7 4.03e-02 6.14e-02f  1
 287r 5.4401624e+05 9.74e+03 8.06e+02  -5.4 4.11e+01  -1.3 1.04e-02 1.26e-06f  1
 288r 5.4467266e+05 9.74e+03 8.06e+02  -5.4 1.18e+02  -1.8 3.09e-03 4.07e-03f  1
 289r 5.4510829e+05 9.74e+03 8.05e+02  -5.4 3.11e+02  -2.2 8.29e-04 1.09e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290r 5.5485789e+05 9.73e+03 8.80e+02  -5.4 1.31e+02  -1.8 7.46e-03 5.43e-02f  1
 291r 5.5804349e+05 9.73e+03 8.95e+02  -5.4 5.14e+01  -1.4 2.55e-02 4.43e-02f  1
 292r 5.6545151e+05 9.73e+03 1.39e+03  -5.4 1.97e+01  -1.0 2.81e-02 2.64e-01f  1
 293r 5.7180719e+05 9.73e+03 1.49e+03  -5.4 5.73e+01  -1.4 1.48e-02 7.97e-02f  1
 294r 5.8017366e+05 9.72e+03 1.80e+03  -5.4 2.19e+01  -1.0 4.74e-02 2.69e-01f  1
 295r 5.8017372e+05 9.72e+03 1.74e+03  -5.4 6.35e+01  -1.5 2.12e-02 6.00e-07f  1
 296r 5.8447745e+05 9.72e+03 1.85e+03  -5.4 2.44e+01  -1.1 2.07e-02 1.24e-01f  1
 297r 5.8483895e+05 9.72e+03 1.88e+03  -5.4 9.19e+00  -0.6 2.16e-03 2.70e-02f  1
 298r 6.0782084e+05 9.71e+03 2.59e+03  -5.4 2.73e+01  -1.1 1.76e-02 5.93e-01f  1
 299r 6.1564180e+05 9.70e+03 2.64e+03  -5.4 7.95e+01  -1.6 1.98e-04 7.10e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300r 6.2060967e+05 9.70e+03 2.38e+03  -5.4 3.07e+01  -1.2 1.01e-01 1.16e-01f  1
 301r 6.4062344e+05 9.68e+03 2.45e+03  -5.4 8.84e+01  -1.6 1.03e-02 1.63e-01f  1
 302r 6.8860905e+05 9.65e+03 2.66e+03  -5.4 3.41e+01  -1.2 5.02e-02 1.00e+00f  1
 303r 7.8356681e+05 9.58e+03 2.73e+03  -5.4 9.44e+01  -1.7 4.16e-02 6.98e-01f  1
 304r 7.8714909e+05 9.58e+03 2.62e+03  -5.4 2.42e+02  -2.2 3.54e-02 9.95e-03f  1
 305r 7.9838526e+05 9.57e+03 2.63e+03  -5.4 6.28e+02  -2.6 1.95e-03 1.33e-02f  1
 306r 8.0030160e+05 9.57e+03 2.53e+03  -5.4 2.66e+02  -2.2 3.28e-02 4.83e-03f  1
 307r 8.4737510e+05 9.54e+03 2.42e+03  -5.4 1.14e+02  -1.8 4.13e-02 2.84e-01f  1
 308r 8.6413183e+05 9.53e+03 2.40e+03  -5.4 2.88e+02  -2.3 1.19e-02 3.86e-02f  1
 309r 8.7297103e+05 9.52e+03 2.36e+03  -5.4 1.24e+02  -1.8 1.34e-02 4.86e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310r 8.7309459e+05 9.52e+03 1.97e+03  -5.4 9.50e-01   0.4 1.49e-03 7.55e-02f  1
 311r 8.7310751e+05 9.52e+03 1.87e+03  -5.4 5.13e-01   0.8 6.81e-03 1.47e-02f  1
 312r 8.7314484e+05 9.52e+03 1.87e+03  -5.4 1.06e+00   0.3 4.79e-02 2.13e-02f  1
 313r 8.7318498e+05 9.52e+03 1.80e+03  -5.4 2.91e+00  -0.1 5.40e-02 9.23e-03f  1
 314r 8.7359300e+05 9.52e+03 1.70e+03  -5.4 8.43e+00  -0.6 5.35e-02 3.37e-02f  1
 315r 8.7382648e+05 9.52e+03 1.70e+03  -5.4 2.47e+01  -1.1 2.13e-03 6.61e-03f  1
 316r 8.7419594e+05 9.52e+03 1.69e+03  -5.4 9.44e+00  -0.7 8.54e-03 2.71e-02f  1
 317r 8.7592038e+05 9.52e+03 1.45e+03  -5.4 3.63e+00  -0.2 5.42e-03 3.20e-01f  1
 318r 8.7671167e+05 9.52e+03 1.39e+03  -5.4 1.05e+01  -0.7 4.39e-02 5.23e-02f  1
 319r 8.7781388e+05 9.52e+03 1.34e+03  -5.4 3.10e+01  -1.2 3.43e-02 2.49e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320r 8.7918477e+05 9.52e+03 1.29e+03  -5.4 1.18e+01  -0.8 4.02e-02 8.07e-02f  1
 321r 8.8033025e+05 9.52e+03 1.27e+03  -5.4 3.47e+01  -1.2 1.18e-02 2.30e-02f  1
 322r 8.8065954e+05 9.52e+03 1.14e+03  -5.4 1.73e+00   0.1 2.01e-03 1.27e-01f  1
 323r 8.8183099e+05 9.52e+03 1.07e+03  -5.4 5.03e+00  -0.4 4.01e-02 1.60e-01f  1
 324r 8.8310143e+05 9.51e+03 7.06e+02  -5.4 1.92e+00   0.0 1.77e-01 4.46e-01f  1
 325r 8.8356964e+05 9.51e+03 4.28e+02  -5.4 7.28e-01   0.5 7.00e-02 4.26e-01f  1
 326r 8.8423649e+05 9.51e+03 3.81e+02  -5.4 2.11e+00  -0.0 1.35e-01 2.16e-01f  1
 327r 8.8586818e+05 9.51e+03 4.11e+02  -5.4 6.28e+00  -0.5 3.69e-02 1.78e-01f  1
 328r 8.8660825e+05 9.51e+03 3.67e+02  -5.4 2.37e+00  -0.1 1.42e-01 2.14e-01f  1
 329r 8.8719109e+05 9.51e+03 3.60e+02  -5.4 7.06e+00  -0.5 3.37e-02 5.66e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330r 8.9006719e+05 9.51e+03 4.83e+02  -5.4 2.66e+00  -0.1 2.36e-02 7.40e-01f  1
 331r 8.9120503e+05 9.51e+03 4.54e+02  -5.4 7.93e+00  -0.6 6.65e-02 9.84e-02f  1
 332r 9.2561732e+05 9.49e+03 5.46e+02  -5.4 2.35e+01  -1.1 3.18e-02 1.00e+00f  1
 333r 9.4559036e+05 9.47e+03 5.30e+02  -5.4 6.78e+01  -1.6 1.68e-02 1.99e-01f  1
 334r 9.5539174e+05 9.47e+03 5.18e+02  -5.4 1.85e+02  -2.0 2.41e-02 3.41e-02f  1
 335r 1.0031611e+06 9.43e+03 4.57e+02  -5.4 7.50e+01  -1.6 5.04e-02 4.26e-01f  1
 336r 1.0240270e+06 9.42e+03 3.57e+02  -5.4 2.85e+01  -1.2 8.60e-02 4.91e-01f  1
 337r 1.0439289e+06 9.41e+03 3.35e+02  -5.4 8.18e+01  -1.7 3.65e-02 1.62e-01f  1
 338r 1.0478851e+06 9.40e+03 2.98e+02  -5.4 3.15e+01  -1.2 1.20e-01 8.39e-02f  1
 339r 1.0511637e+06 9.40e+03 2.56e+02  -5.4 1.20e+01  -0.8 1.05e-01 1.83e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340r 1.0619933e+06 9.39e+03 2.24e+02  -5.4 3.52e+01  -1.3 8.23e-02 2.05e-01f  1
 341r 1.0820096e+06 9.38e+03 9.41e+01  -5.4 1.34e+01  -0.9 1.06e-01 1.00e+00f  1
 342r 1.1117595e+06 9.36e+03 8.12e+01  -5.4 3.90e+01  -1.3 1.06e-01 5.07e-01f  1
 343r 1.2408632e+06 9.28e+03 9.46e+01  -5.4 1.10e+02  -1.8 9.59e-02 7.72e-01f  1
 344r 1.2796996e+06 9.25e+03 1.06e+02  -5.4 2.73e+02  -2.3 2.72e-03 9.30e-02f  1
 345r 1.2814403e+06 9.25e+03 8.45e+01  -5.4 1.14e+02  -1.9 1.39e-01 1.00e-02f  1
 346r 1.3053745e+06 9.23e+03 6.90e+01  -5.4 2.95e+02  -2.3 1.02e-01 5.35e-02f  1
 347r 1.3081412e+06 9.23e+03 5.86e+01  -5.4 1.26e+02  -1.9 8.87e-02 1.45e-02f  1
 348r 1.3387579e+06 9.21e+03 5.69e+01  -5.4 3.20e+02  -2.4 1.54e-01 6.37e-02f  1
 349r 1.3453993e+06 9.21e+03 5.50e+01  -5.4 1.38e+02  -2.0 2.98e-02 3.18e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350r 1.3656098e+06 9.19e+03 4.70e+01  -5.4 3.45e+02  -2.4 1.64e-02 3.96e-02f  1
 351r 1.3682545e+06 9.19e+03 5.26e+01  -5.4 1.51e+02  -2.0 9.17e-02 1.16e-02f  1
 352r 1.3755892e+06 9.19e+03 5.15e+01  -5.4 3.73e+02  -2.5 1.22e-02 1.35e-02f  1
 353r 1.3791995e+06 9.19e+03 8.28e+01  -5.4 1.67e+02  -2.1 3.38e-01 1.43e-02f  1
 354r 1.3836430e+06 9.18e+03 7.90e+01  -5.4 6.76e+01  -1.6 7.03e-02 4.33e-02f  1
 355r 1.4017972e+06 9.17e+03 7.39e+01  -5.4 1.84e+02  -2.1 6.74e-02 6.53e-02f  1
 356r 1.4138599e+06 9.16e+03 6.61e+01  -5.4 7.47e+01  -1.7 1.24e-01 1.06e-01f  1
 357r 1.4158832e+06 9.16e+03 6.51e+01  -5.4 2.01e+02  -2.2 2.59e-03 6.70e-03f  1
 358r 1.4166003e+06 9.16e+03 6.93e+01  -5.4 8.29e+01  -1.7 1.96e-01 5.71e-03f  1
 359r 1.4214004e+06 9.16e+03 6.34e+01  -5.4 3.24e+01  -1.3 5.28e-02 9.77e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360r 1.4239337e+06 9.16e+03 7.33e+01  -5.4 9.23e+01  -1.8 3.54e-01 1.81e-02f  1
 361r 1.4352677e+06 9.15e+03 5.99e+01  -5.4 3.62e+01  -1.4 1.29e-01 2.07e-01f  1
 362r 1.4433664e+06 9.14e+03 5.80e+01  -5.4 1.02e+02  -1.8 8.00e-02 5.24e-02f  1
 363r 1.4469373e+06 9.14e+03 4.62e+01  -5.4 4.01e+01  -1.4 8.56e-01 5.87e-02f  1
 364r 1.4538916e+06 9.14e+03 5.01e+01  -5.4 1.13e+02  -1.9 1.22e-01 4.06e-02f  1
 365r 1.4571435e+06 9.13e+03 4.76e+01  -5.4 4.47e+01  -1.5 2.51e-01 4.80e-02f  1
 366r 1.4641606e+06 9.13e+03 6.64e+01  -5.4 1.25e+02  -1.9 2.82e-01 3.71e-02f  1
 367r 1.4742483e+06 9.12e+03 5.62e+01  -5.4 4.98e+01  -1.5 2.54e-01 1.34e-01f  1
 368r 1.4812036e+06 9.12e+03 9.66e+01  -5.4 1.38e+02  -2.0 4.77e-01 3.34e-02f  1
 369r 1.4855660e+06 9.11e+03 8.55e+01  -5.4 5.53e+01  -1.6 2.21e-01 5.21e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 370r 1.4949396e+06 9.11e+03 9.40e+01  -5.4 1.53e+02  -2.0 1.83e-01 4.08e-02f  1
 371r 1.4973221e+06 9.11e+03 6.86e+01  -5.4 6.15e+01  -1.6 8.67e-01 2.56e-02f  1
 372r 1.5035257e+06 9.10e+03 9.89e+01  -5.4 1.68e+02  -2.1 2.91e-01 2.46e-02f  1
 373r 1.5135023e+06 9.10e+03 7.63e+01  -5.4 6.84e+01  -1.7 6.05e-01 9.65e-02f  1
 374r 1.5230626e+06 9.09e+03 7.84e+01  -5.4 1.85e+02  -2.2 6.89e-02 3.46e-02f  1
 375r 1.5232098e+06 9.09e+03 7.90e+01  -5.4 5.15e+02  -2.6 1.25e-03 2.51e-04f  1
 376r 1.5307944e+06 9.08e+03 1.24e+02  -5.4 2.03e+02  -2.2 3.15e-01 2.50e-02f  1
 377r 1.5385411e+06 9.08e+03 1.06e+02  -5.4 8.42e+01  -1.8 3.91e-01 6.11e-02f  1
 378r 1.5407372e+06 9.08e+03 1.41e+02  -5.4 2.23e+02  -2.3 2.12e-01 6.65e-03f  1
 379r 1.5525840e+06 9.07e+03 1.04e+02  -5.4 9.34e+01  -1.8 7.76e-01 8.42e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 380r 1.5553152e+06 9.07e+03 1.10e+02  -5.4 2.43e+02  -2.3 3.81e-02 7.61e-03f  1
 381r 1.5558500e+06 9.07e+03 1.12e+02  -5.4 7.81e+02  -2.8 2.71e-03 9.32e-04f  1
 382r 1.5608876e+06 9.06e+03 1.35e+02  -5.4 2.67e+02  -2.4 1.09e-01 1.29e-02f  1
 383r 1.5609706e+06 9.06e+03 1.36e+02  -5.4 1.30e+03  -2.8 7.57e-04 1.89e-04f  1
 384r 1.5615333e+06 9.06e+03 1.38e+02  -5.4 3.23e+02  -2.4 1.13e-02 1.32e-03f  1
 385r 1.5614452e+06 9.06e+03 1.43e+02  -5.4 2.33e+03  -2.9 1.22e-03 2.45e-04f  1
 386r 1.5680798e+06 9.06e+03 1.49e+02  -5.4 3.20e+02  -2.5 3.88e-02 1.44e-02f  1
 387r 1.5757706e+06 9.05e+03 1.49e+02  -5.4 1.41e+02  -2.0 2.59e-01 3.64e-02f  1
 388r 1.5795551e+06 9.05e+03 1.77e+02  -5.4 3.47e+02  -2.5 8.10e-02 7.66e-03f  1
 389r 1.5866422e+06 9.05e+03 1.75e+02  -5.4 1.56e+02  -2.1 1.52e-01 3.05e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 390r 1.5898031e+06 9.04e+03 1.99e+02  -5.4 3.79e+02  -2.6 6.09e-02 6.00e-03f  1
 391r 1.5966153e+06 9.04e+03 1.98e+02  -5.4 1.72e+02  -2.1 1.56e-01 2.67e-02f  1
 392r 1.5991912e+06 9.04e+03 2.05e+02  -5.4 4.25e+02  -2.6 1.94e-02 4.61e-03f  1
 393r 1.6105956e+06 9.03e+03 2.13e+02  -5.4 1.89e+02  -2.2 3.46e-01 4.07e-02f  1
 394r 1.6116547e+06 9.03e+03 2.30e+02  -5.4 4.79e+02  -2.7 2.69e-02 1.81e-03f  1
 395r 1.6238155e+06 9.02e+03 2.25e+02  -5.4 2.07e+02  -2.2 9.18e-02 3.97e-02f  1
 396r 1.6241667e+06 9.02e+03 2.37e+02  -5.4 5.47e+02  -2.7 1.51e-02 5.81e-04f  1
 397r 1.6315092e+06 9.02e+03 2.53e+02  -5.4 2.29e+02  -2.3 2.23e-01 2.20e-02f  1
 398r 1.6325281e+06 9.01e+03 2.51e+02  -5.4 6.42e+02  -2.8 3.51e-04 1.66e-03f  1
 399r 1.6348566e+06 9.01e+03 2.55e+02  -5.4 3.04e+02  -2.3 4.88e-02 6.43e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 400r 1.6359162e+06 9.01e+03 2.52e+02  -5.4 7.61e+02  -2.8 6.94e-06 1.76e-03f  1
 401r 1.6360119e+06 9.01e+03 2.58e+02  -5.4 3.33e+02  -2.4 3.09e-02 2.43e-04f  1
 402r 1.6364934e+06 9.01e+03 2.56e+02  -5.4 9.82e+02  -2.9 5.98e-05 9.04e-04f  1
 403r 1.6364998e+06 9.01e+03 2.56e+02  -5.4 3.65e+02  -2.4 3.39e-04 1.50e-05f  1
 404r 1.6365008e+06 9.01e+03 2.56e+02  -5.4 1.51e+03  -2.9 2.79e-06 3.88e-06f  1
 405r 1.6396716e+06 9.01e+03 2.70e+02  -5.4 4.01e+02  -2.5 5.67e-02 6.82e-03f  1
 406r 1.6396192e+06 9.01e+03 2.76e+02  -5.4 3.98e+03  -3.0 5.54e-04 4.05e-05f  1
 407r 1.6451565e+06 9.00e+03 2.68e+02  -5.4 4.37e+02  -2.5 1.88e-04 1.11e-02f  1
