This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    35416
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   109200

Total number of variables............................:     6010
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     1803
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  45r 6.4648187e+04 9.98e+03 4.98e+02  -1.6 2.20e+01  -0.3 6.24e-01 2.74e-01f  1
  46r 6.7755657e+04 9.98e+03 5.94e+02  -1.6 4.23e+01  -0.7 2.50e-01 1.04e-01f  1
  47r 6.8149281e+04 9.98e+03 5.97e+02  -1.6 8.89e+01  -1.2 1.32e-02 8.85e-03f  1
  48r 7.1850258e+04 9.98e+03 1.17e+03  -1.6 4.25e+01  -0.8 8.17e-01 1.24e-01f  1
  49r 7.4733008e+04 9.98e+03 1.08e+03  -1.6 6.08e+01  -1.3 6.05e-02 6.75e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 7.8678703e+04 9.98e+03 1.24e+03  -1.6 4.03e+01  -0.8 9.85e-01 1.39e-01f  1
  51r 8.3755988e+04 9.98e+03 1.10e+03  -1.6 5.42e+01  -1.3 1.73e-01 1.32e-01f  1
  52r 8.6806665e+04 9.98e+03 1.09e+03  -1.6 5.74e+01  -1.8 1.43e-01 7.42e-02f  1
  53r 9.0578228e+04 9.98e+03 1.07e+03  -1.6 5.88e+01    -  1.62e-01 8.93e-02f  1
  54r 9.7270244e+04 9.98e+03 1.13e+03  -1.6 5.43e+01    -  4.45e-01 1.74e-01f  1
  55r 1.1398762e+05 9.98e+03 4.77e+02  -1.6 4.53e+01    -  4.21e-01 5.28e-01f  1
  56r 1.2889526e+05 9.98e+03 8.69e+01  -1.6 2.16e+01    -  7.15e-01 1.00e+00f  1
  57r 1.2888610e+05 9.98e+03 1.23e-01  -1.6 1.01e+00    -  1.00e+00 1.00e+00f  1
  58r 1.2891110e+05 9.98e+03 2.59e+01  -3.6 3.61e-01    -  6.92e-01 8.51e-01f  1
  59r 1.3572498e+05 9.98e+03 3.35e+02  -3.6 7.10e+01  -0.5 2.80e-01 1.38e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 1.7157152e+05 9.97e+03 1.03e+03  -3.6 1.94e+02  -0.9 6.38e-02 2.66e-01f  1
  61r 1.8552826e+05 9.97e+03 1.70e+02  -3.6 7.63e+01  -0.5 5.23e-01 2.64e-01f  1
  62r 2.1748765e+05 9.97e+03 1.91e+02  -3.6 2.05e+02  -1.0 1.77e-01 2.24e-01f  1
  63r 2.3435833e+05 9.96e+03 1.37e+03  -3.6 8.16e+01  -0.6 8.08e-01 2.98e-01f  1
  64r 2.4655219e+05 9.96e+03 3.76e+03  -3.6 2.16e+02  -1.1 4.90e-01 8.12e-02f  1
  65r 2.8581518e+05 9.96e+03 1.39e+03  -3.6 8.85e+01  -0.6 6.02e-01 6.40e-01f  1
  66r 3.1680016e+05 9.95e+03 5.69e+03  -3.6 2.27e+02  -1.1 9.03e-01 1.97e-01f  1
  67r 3.1836585e+05 9.95e+03 5.71e+03  -3.6 4.85e+02  -1.6 9.10e-03 4.57e-03f  1
  68r 3.6338725e+05 9.95e+03 6.12e+03  -3.6 2.41e+02  -1.2 1.00e+00 2.69e-01f  1
  69r 3.6870415e+05 9.95e+03 6.20e+03  -3.6 5.02e+02  -1.6 3.03e-02 1.52e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 4.2253181e+05 9.94e+03 5.66e+03  -3.6 2.51e+02  -1.2 8.57e-01 3.10e-01f  1
  71r 4.3844666e+05 9.94e+03 7.98e+03  -3.6 5.03e+02  -1.7 2.62e-01 4.57e-02f  1
  72r 4.5735633e+05 9.93e+03 7.88e+03  -3.6 2.53e+02  -1.3 1.00e+00 1.08e-01f  1
  73r 4.5736313e+05 9.93e+03 8.07e+03  -3.6 6.29e+02  -1.7 1.91e-02 1.94e-05f  1
  74r 4.5961635e+05 9.94e+03 7.97e+03  -3.6 4.84e+02  -1.3 2.22e-02 1.27e-02f  1
  75r 4.6133694e+05 9.94e+03 7.88e+03  -3.6 9.79e+02  -1.8 1.86e-05 4.78e-03f  1
  76r 4.6137068e+05 9.94e+03 7.91e+03  -3.6 5.25e+02  -1.4 2.28e-02 1.75e-04f  1
  77r 4.6442469e+05 9.93e+03 7.76e+03  -3.6 1.04e+03  -1.8 1.68e-05 8.00e-03f  1
  78r 4.7111854e+05 9.93e+03 7.48e+03  -3.6 5.70e+02  -1.4 1.56e-02 3.20e-02f  1
  79r 4.7112292e+05 9.93e+03 7.48e+03  -3.6 1.08e+03  -1.9 4.07e-04 1.10e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80r 4.8606718e+05 9.94e+03 6.82e+03  -3.6 6.14e+02  -1.5 1.13e-02 6.63e-02f  1
  81r 4.9048561e+05 9.94e+03 6.61e+03  -3.6 1.12e+03  -1.9 6.32e-04 1.07e-02f  1
  82r 4.9154534e+05 9.94e+03 7.35e+03  -3.6 6.50e+02  -1.5 1.67e-01 4.44e-03f  1
  83r 5.0775008e+05 9.94e+03 6.72e+03  -3.6 1.17e+03  -2.0 1.16e-02 3.77e-02f  1
  84r 5.2077479e+05 9.94e+03 6.28e+03  -3.6 6.86e+02  -1.6 3.39e-02 5.18e-02f  1
  85r 5.2084041e+05 9.94e+03 6.40e+03  -3.6 1.18e+03  -2.0 8.27e-03 1.52e-04f  1
  86r 5.3314834e+05 9.95e+03 5.83e+03  -3.6 7.26e+02  -1.6 3.39e-03 4.62e-02f  1
  87r 5.3317770e+05 9.95e+03 5.84e+03  -3.6 1.22e+03  -2.1 1.09e-03 6.61e-05f  1
  88r 5.4011663e+05 9.95e+03 6.78e+03  -3.6 7.67e+02  -1.7 1.65e-01 2.47e-02f  1
  89r 5.4012551e+05 9.95e+03 6.82e+03  -3.6 1.25e+03  -2.1 2.91e-03 1.94e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r 6.2391076e+05 9.98e+03 3.09e+03  -3.6 8.13e+02  -1.7 4.14e-02 2.82e-01f  1
  91r 6.2397758e+05 9.98e+03 3.09e+03  -3.6 1.21e+03  -2.2 1.07e-05 1.59e-04f  1
  92r 6.2952418e+05 9.98e+03 3.07e+03  -3.6 7.69e+02  -1.8 2.41e-02 1.99e-02f  1
  93r 6.2952762e+05 9.98e+03 3.07e+03  -3.6 1.50e+04  -2.2 9.27e-05 7.51e-06f  1
