This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:    34816
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   101400

Total number of variables............................:     6010
                     variables with only lower bounds:     4207
                variables with lower and upper bounds:     1803
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4215
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  46r 5.5675513e+04 1.00e+04 4.11e+02  -1.6 1.89e+02  -1.9 2.12e-03 2.11e-03f  1
  47r 5.5808916e+04 1.00e+04 4.11e+02  -1.6 1.56e+02    -  2.12e-03 1.83e-03f  1
  48r 5.7864663e+04 1.00e+04 3.30e+02  -1.6 3.90e+01  -0.6 2.40e-02 7.47e-02f  1
  49r 5.7874432e+04 1.00e+04 3.34e+02  -1.6 1.45e+02    -  1.54e-03 1.37e-04f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 5.9322617e+04 1.00e+04 3.19e+02  -1.6 1.04e+02    -  1.78e-02 2.04e-02f  1
  51r 6.1271876e+04 1.00e+04 6.91e+02  -1.6 6.29e+01  -1.1 2.38e-01 4.35e-02f  1
  52r 6.1945317e+04 1.00e+04 6.63e+02  -1.6 1.05e+02    -  2.67e-03 9.93e-03f  1
  53r 6.9325986e+04 1.00e+04 4.90e+02  -1.6 9.43e+01    -  7.48e-02 1.10e-01f  1
  54r 7.1840201e+04 1.00e+04 5.75e+02  -1.6 8.35e+01    -  8.33e-02 4.22e-02f  1
  55r 8.8352500e+04 1.00e+04 3.68e+01  -1.6 8.08e+01    -  1.33e-01 2.89e-01f  1
  56r 9.6091068e+04 1.00e+04 6.58e+01  -1.6 5.73e+01    -  1.45e-01 1.91e-01f  1
  57r 9.6891441e+04 1.00e+04 8.00e+01  -1.6 3.96e+01  -1.5 1.24e-01 2.88e-02f  1
  58r 1.2172602e+05 1.00e+04 1.09e+03  -1.6 4.54e+01    -  7.81e-02 7.74e-01f  1
  59r 1.2644087e+05 9.99e+03 1.32e+02  -1.6 1.03e+01    -  1.00e+00 6.52e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r 1.2740078e+05 9.99e+03 8.14e+01  -1.6 3.70e+00    -  2.78e-01 3.81e-01f  1
  61r 1.2895758e+05 9.99e+03 2.12e-01  -1.6 2.25e+00    -  1.00e+00 1.00e+00f  1
  62r 1.2885130e+05 9.99e+03 1.69e+01  -2.4 2.52e-01  -1.1 7.30e-01 1.00e+00f  1
  63r 1.3161418e+05 9.99e+03 6.87e+01  -2.4 6.21e+01  -0.7 9.47e-02 6.29e-02f  1
  64r 1.7447517e+05 9.99e+03 1.28e+03  -2.4 2.60e+02    -  8.96e-02 2.33e-01f  1
  65r 1.8935505e+05 9.99e+03 1.18e+03  -2.4 1.97e+02    -  1.02e-01 1.05e-01f  1
  66r 2.3161802e+05 9.99e+03 5.94e+02  -2.4 1.79e+02    -  3.59e-01 3.35e-01f  1
  67r 2.7657485e+05 9.99e+03 2.52e+02  -2.4 1.19e+02    -  6.43e-01 5.35e-01f  1
  68r 3.1567148e+05 9.99e+03 3.37e-01  -2.4 5.54e+01    -  1.00e+00 1.00e+00f  1
  69r 3.1567384e+05 9.99e+03 3.44e-04  -2.4 7.20e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r 3.1563809e+05 9.99e+03 2.73e+01  -5.4 1.90e-01    -  8.08e-01 9.00e-01f  1
  71r 3.2585374e+05 9.99e+03 2.35e+03  -5.4 3.79e+02  -1.2 2.14e-01 3.79e-02f  1
  72r 3.4771494e+05 9.99e+03 3.57e+03  -5.4 1.08e+03  -1.6 6.40e-02 2.87e-02f  1
  73r 4.0686991e+05 9.99e+03 2.49e+03  -5.4 4.25e+02  -1.2 1.62e-01 1.97e-01f  1
  74r 4.1362918e+05 9.99e+03 8.42e+03  -5.4 1.19e+03  -1.7 1.57e-01 8.03e-03f  1
  75r 4.4286801e+05 9.99e+03 7.17e+03  -5.4 4.74e+02  -1.3 2.52e-02 8.74e-02f  1
  76r 4.4286856e+05 9.99e+03 7.41e+03  -5.4 2.20e+03  -1.7 6.56e-03 6.21e-07f  1
  77r 4.4792345e+05 9.99e+03 7.24e+03  -5.4 9.74e+02  -1.3 6.23e-03 1.44e-02f  1
  78r 4.4948114e+05 9.99e+03 7.16e+03  -5.4 2.70e+03  -1.8 2.00e-08 1.59e-03f  1
