timestep,S,I,C,υ
135,0.37204011778212304,0.005292851264063422,0.617959882217877,4.993100494734283e-7
136,0.3715481553331343,0.00516288729536564,0.6184518446668656,4.941239568013608e-7
137,0.37106889961669187,0.005035487762995951,0.6189311003833081,4.891462389116843e-7
138,0.37060206552305325,0.0049106364474852,0.6193979344769467,4.843668638001981e-7
139,0.37014737190216584,0.004788315075512106,0.6198526280978341,4.797763880092313e-7
140,0.36970454165858874,0.004668503466315678,0.6202954583414113,4.7536591532350264e-7
141,0.36927330183455376,0.004551179672764024,0.6207266981654462,4.711270588296856e-7
142,0.3688533836818098,0.0044363201170641514,0.6211466163181901,4.6705190602949583e-7
143,0.36844452272287354,0.004323899721119128,0.6215554772771265,4.6313298672797693e-7
144,0.3680464588022895,0.004213892031558058,0.6219535411977105,4.593632434469163e-7
145,0.36765893612848427,0.004106269339481142,0.6223410638715158,4.5573600413840443e-7
146,0.3672817033067756,0.0040010027949788545,0.6227182966932244,4.522449569959076e-7
147,0.3669145133640801,0.0038980625164966383,0.6230854866359199,4.488841271800793e-7
148,0.3665571237658398,0.0037974176951296726,0.6234428762341602,4.456478552942941e-7
149,0.3662092964256688,0.003699036693942881,0.6237907035743312,4.4253077746073816e-7
150,0.3658707977082002,0.0036028871424199672,0.6241292022917998,4.3952780686203935e-7
151,0.3655413984255935,0.0035089360261541806,0.6244586015744065,4.366341166261337e-7
152,0.36522087382814244,0.0034171497718996336,0.6247791261718576,4.338451239434288e-7
153,0.36490900358940404,0.0033274943281074915,0.625090996410596,4.3115647531552727e-7
154,0.36460557178624997,0.0032399352410767265,0.62539442821375,4.2856403284397826e-7
155,0.36431036687422313,0.0031544377268517055,0.6256896331257769,4.2606386147574666e-7
156,0.3640231816585633,0.0030709667390024843,0.6259768183414367,4.236522171295557e-7
157,0.36374381326124816,0.002989487032425156,0.6262561867387518,4.2132553563394855e-7
158,0.36347206308437935,0.0029099632233008407,0.6265279369156207,4.1908042241396937e-7
159,0.3632077367702248,0.002832359845352612,0.6267922632297752,4.1691364286883893e-7
160,0.362950644158214,0.002756641402539478,0.627049355841786,4.148221133879441e-7
161,0.36270059923916564,0.0026827724183258943,0.6272994007608343,4.128028929569381e-7
162,0.362457420107013,0.0026107174816646507,0.627542579892987,4.108531753098188e-7
163,0.36222092890827684,0.0025404412898286186,0.6277790710917232,4.0897028158652056e-7
164,0.3619909517895226,0.002471908688226,0.6280090482104773,4.0715165345891504e-7
165,0.3617673188430234,0.0024050847073306234,0.6282326811569766,4.0539484669114644e-7
166,0.36154986405083905,0.0023399345968572105,0.628450135949161,4.0369752510300235e-7
167,0.36133842522750803,0.002276423857308034,0.628661574772492,4.0205745490753113e-7
168,0.36113284396153716,0.002214518269014875,0.6288671560384628,4.004724993964173e-7
169,0.3609329655558626,0.002154183918797227,0.6290670344441375,3.989406139487223e-7
170,0.3607386389674446,0.0020953872243540134,0.6292613610325554,3.974598413405054e-7
171,0.3605497167461494,0.0020380949565030415,0.6294502832538507,3.960283073345875e-7
172,0.3603660549730576,0.0019822742593789415,0.6296339450269424,3.9464421653132147e-7
173,0.360187513198336,0.0019278926686967304,0.629812486801664,3.933058484626893e-7
174,0.3600139543787918,0.001874918128184617,0.6299860456212082,3.920115539133879e-7
175,0.3598452448152282,0.0018233190042861982,0.6301547551847717,3.9075975145379397e-7
176,0.3596812540897062,0.0017730640992282107,0.6303187459102938,3.895489241708175e-7
177,0.35952185500281186,0.0017241226625472172,0.6304781449971881,3.883776165836987e-7
178,0.35936692351102173,0.0016764644011639537,0.6306330764889783,3.872444317327371e-7
179,0.35921633866425057,0.0016300594880916538,0.6307836613357494,3.8614802842982803e-7
180,0.3590699825436598,0.0015848785698603005,0.6309300174563401,3.85087118660475e-7
181,0.3589277401997984,0.001540892772735839,0.6310722598002017,3.8406046512769e-7
182,0.35878949959114304,0.0014980737078097378,0.631210500408857,3.830668789288727e-7
183,0.35865515152309735,0.0014563934750311785,0.6313448484769026,3.8210521735738627e-7
184,0.3585245895875059,0.001415824666250871,0.6314754104124941,3.811743818211304e-7
185,0.358397710102733,0.0013763403673421443,0.631602289897267,3.8027331587093835e-7
186,0.35827441205435234,0.00133791415946228,0.6317255879456477,3.794010033321292e-7
187,0.35815459703648833,0.0013005201195135144,0.6318454029635117,3.785564665329875e-7
188,0.35803816919384696,0.001264132819861006,0.631961830806153,3.777387646243818e-7
189,0.35792503516446844,0.0012287273273613685,0.6320749648355315,3.7694699198510693e-7
190,0.35781510402323247,0.0011942792017534292,0.6321848959767675,3.7618027670790833e-7
191,0.35770828722614123,0.0011607644934598484,0.6322917127738588,3.754377791614744e-7
192,0.35760449855540416,0.0011281597408455788,0.6323955014445958,3.747186906239926e-7
193,0.35750365406534385,0.0010964419669771696,0.6324963459346561,3.7402223198415906e-7
194,0.3574056720291407,0.0010655886759242778,0.6325943279708593,3.733476525057916e-7
195,0.3573104728864308,0.0010355778486422689,0.6326895271135692,3.7269422865244494e-7
196,0.35721797919176973,0.0010063879384731016,0.6327820208082302,3.720612629686593e-7
197,0.3571281155639714,0.0009779978662993718,0.6328718844360286,3.7144808301468696e-7
198,0.3570408086363307,0.0009503870153842387,0.6329591913636693,3.708540403517371e-7
199,0.3569559870077354,0.0009235352259284781,0.6330440129922645,3.702785095749693e-7
200,0.35687358119467155,0.0008974227893734906,0.6331264188053284,3.697208873916321e-7
201,0.35679352358412453,0.0008720304424779565,0.6332064764158755,3.651708023535205e-7
